#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,0.10000000000000007,-464132.3727630084,45722.751533052215,155.19947523251213,0
200,0.20000000000000015,-460690.92655174155,50465.341624996865,171.2975329572456,1.91
300,0.3000000000000002,-457841.4412477007,54782.80683661912,185.95256382724955,1.89
400,0.4000000000000003,-455675.2269145838,59306.8878448451,201.3089230760687,1.93
500,0.5000000000000003,-452828.9289918812,62109.57485385063,210.8222515275334,1.92
600,0.6000000000000004,-450378.84409214754,64546.56081299128,219.09425899266205,1.94
700,0.7000000000000005,-447171.1122856365,66354.93463338488,225.23253060884892,1.95
800,0.8000000000000006,-445114.6445125574,68406.3320477296,232.19571177193976,1.93
900,0.9000000000000007,-443019.3962143438,69933.28705840405,237.3787466597028,1.92
1000,1.0000000000000007,-441013.41029289056,71275.13506100714,241.93346173837105,1.91
1100,1.0999999999999897,-439414.3863768593,72900.773530818,247.4514638045863,1.91
1200,1.1999999999999786,-437363.832783955,74084.65764948729,251.46999260683384,1.91
1300,1.2999999999999676,-435671.60590580833,75250.17067761529,255.42616331566276,1.91
1400,1.3999999999999566,-434641.7626400545,76557.37172853835,259.86327417020067,1.9
1500,1.4999999999999456,-433048.6945154599,77590.83236991955,263.3712115501257,1.9
1600,1.5999999999999346,-431126.8938866385,78190.18078576754,265.40561579095106,1.9
1700,1.6999999999999236,-429889.28059649933,78879.39026736948,267.74504083173343,1.9
1800,1.7999999999999126,-428811.9464449673,79811.56438915367,270.9091753091096,1.9
1900,1.8999999999999015,-427534.7845447996,79925.41548931222,271.2956269203272,1.9
2000,1.9999999999998905,-427133.25376257324,80989.13927698399,274.90628831107176,1.9
2100,2.0999999999998797,-426410.2107157007,81744.7812502287,277.47120913886715,1.87
2200,2.1999999999998687,-425595.71639952005,82189.9078179902,278.98212891977084,1.85
2300,2.2999999999998577,-425328.6294745797,82818.86373447772,281.11703167409627,1.83
2400,2.3999999999998467,-424034.341857149,82930.72503439985,281.4967291871427,1.81
2500,2.4999999999998357,-423268.37701479346,83538.35558692281,283.5592459807489,1.8
2600,2.5999999999998247,-422720.11507735023,84019.27545798222,285.1916611157688,1.78
2700,2.6999999999998137,-422531.7243915162,84962.53137905177,288.39341120847985,1.77
2800,2.7999999999998026,-420595.23935515695,84063.56098313596,285.34198212738346,1.76
2900,2.8999999999997916,-420859.9562335546,85091.79093265686,288.83216465650446,1.74
3000,2.9999999999997806,-420449.7293283922,85654.19609748946,290.7411702067714,1.72
3100,3.0999999999997696,-419603.1185339428,85641.82271563016,290.69917049531426,1.71
3200,3.1999999999997586,-419505.48000863986,85984.25893483029,291.861522272898,1.7
3300,3.2999999999997476,-419260.6710168577,86750.74050329691,294.4632365882629,1.69
3400,3.3999999999997366,-418936.0624390616,86592.37365507867,293.92568250602596,1.68
3500,3.4999999999997256,-418463.8494058589,86298.49415073502,292.92814969519424,1.67
3600,3.5999999999997145,-418073.9640514852,86504.15364597936,293.62623204300377,1.66
3700,3.6999999999997035,-417987.09492800786,86441.11302679418,293.4122494919143,1.65
3800,3.7999999999996925,-418115.29352383147,86898.07009018169,294.9633262330038,1.64
3900,3.8999999999996815,-417970.9425268883,87322.48672857137,296.40394905970334,1.63
4000,3.9999999999996705,-417249.9839386237,86977.65038671407,295.23345040196915,1.62
4100,4.099999999999704,-417116.7906288236,86887.68391184958,294.9280718055521,1.61
4200,4.199999999999737,-416689.0053641566,87183.14394813434,295.9309695106569,1.6
4300,4.299999999999771,-417246.31575663015,87922.4245031003,298.4403537960137,1.59
4400,4.399999999999804,-416314.8136296794,87539.51481644987,297.1406205026962,1.58
4500,4.4999999999998375,-415975.929395611,87694.35358107922,297.6661989994049,1.58
4600,4.599999999999871,-415697.1631352209,88112.40825862285,299.0852270411964,1.57
4700,4.699999999999904,-415620.28970423725,88185.09834532696,299.33196335808077,1.56
4800,4.799999999999938,-415067.54861589655,87580.66592715119,297.2803021835212,1.56
4900,4.899999999999971,-415232.01425131026,87867.90915776504,298.2553090927868,1.55
5000,5.000000000000004,-415417.1589607589,88258.8593465275,299.5823347442095,1.54
