time_ps,angle_degrees
0,109.81561279296875
0.02,111.64887237548828
0.04,110.15696716308594
0.06,108.60264587402344
0.08,111.74230194091797
0.1,111.55929565429688
0.12,112.7884521484375
0.14,110.6631851196289
0.16,108.57861328125
0.18,112.32154083251953
0.2,109.53288269042969
0.22,108.06103515625
0.24,111.09961700439453
0.26,110.68510437011719
0.28,107.05680847167969
0.3,109.23656463623047
0.32,110.85157012939453
0.34,112.55809020996094
0.36,115.66908264160156
0.38,112.60023498535156
0.4,109.03404998779297
0.42,109.45630645751953
0.44,112.20732116699219
0.46,111.5069580078125
0.48,109.60842895507812
0.5,108.38693237304688
0.52,107.478271484375
0.54,112.11930847167969
0.56,114.86868286132812
0.58,110.25776672363281
0.6,105.85171508789062
0.62,107.27586364746094
0.64,111.62350463867188
0.66,110.18998718261719
0.68,107.2955551147461
0.7,110.62538146972656
0.72,109.34996032714844
0.74,109.87837982177734
0.76,112.922119140625
0.78,107.76226806640625
0.8,108.96429443359375
0.82,112.4397201538086
0.84,114.96829223632812
0.86,112.52632904052734
0.88,106.19696044921875
0.9,110.95054626464844
0.92,110.6248550415039
0.94,109.07942962646484
0.96,112.03079223632812
0.98,105.92223358154297
1,108.45269775390625
1.02,113.47203826904297
1.04,113.82767486572266
1.06,111.57992553710938
1.08,106.75950622558594
1.1,108.15220642089844
1.12,108.60449981689453
1.14,107.6285171508789
1.16,111.32292938232422
1.18,110.54717254638672
1.2,110.71177673339844
1.22,114.44197845458984
1.24,111.5023193359375
1.26,108.48322296142578
1.28,110.65222930908203
1.3,113.83312225341797
1.32,115.48051452636719
1.34,107.0782699584961
1.36,110.94452667236328
1.38,112.11754608154297
1.4,109.28133392333984
1.42,111.57671356201172
1.44,107.51036834716797
1.46,111.70420837402344
1.48,114.22522735595703
1.5,110.17880249023438
1.52,112.71569061279297
1.54,107.89482879638672
1.56,110.20111083984375
1.58,114.1030502319336
1.6,112.01834869384766
1.62,114.31702423095703
1.64,110.759033203125
1.66,107.56878662109375
1.68,115.13512420654297
1.7,111.92359161376953
1.72,109.08313751220703
1.74,109.75167083740234
1.76,108.97496795654297
1.78,111.91004180908203
1.8,110.83802795410156
1.82,110.32940673828125
1.84,109.68901062011719
1.86,107.92583465576172
1.88,116.38648223876953
1.9,112.54127502441406
1.92,106.1300277709961
1.94,106.60411071777344
1.96,109.77944946289062
1.98,114.04727172851562
2,115.0439453125
