#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
7900,7.900000000000973,-429803.438562408,88580.86511959636,300.6753382342991,342.4238188306513,1.0245457269831315
8000,8.000000000001005,-429838.92257590854,88538.59676177026,300.5318642146131,342.4238188306513,1.0245457269831315
8100,8.10000000000095,-430016.66855788336,88486.88890139262,300.3563491258022,342.4238188306513,1.0245457269831315
8200,8.200000000000895,-430138.23911616264,88892.90154951059,301.73450218555666,342.4238188306513,1.0245457269831315
8300,8.30000000000084,-429651.0710239926,88419.51013206212,300.1276413317328,342.4238188306513,1.0245457269831315
8400,8.400000000000784,-429547.65085749247,88095.93344376817,299.0293055899655,342.4238188306513,1.0245457269831315
8500,8.500000000000728,-429908.53810567,88045.30507396885,298.8574546807075,342.4238188306513,1.0245457269831315
8600,8.600000000000673,-429894.6149433522,88483.59665296938,300.34517404970785,342.4238188306513,1.0245457269831315
8700,8.700000000000617,-429730.75622462406,88315.72173242587,299.77534614785424,342.4238188306513,1.0245457269831315
8800,8.800000000000562,-429945.5307424773,88701.21254387127,301.08384070772416,342.4238188306513,1.0245457269831315
8900,8.900000000000507,-430725.2522528057,89126.84322671362,302.5285844382548,342.4238188306513,1.0245457269831315
9000,9.000000000000451,-430087.919439617,88876.4026446839,301.67849896429027,342.4238188306513,1.0245457269831315
9100,9.100000000000396,-430843.78310730413,89763.04662649766,304.6880877594022,342.4238188306513,1.0245457269831315
9200,9.20000000000034,-430116.7964363712,88782.93356695537,301.3612312730961,342.4238188306513,1.0245457269831315
9300,9.300000000000285,-429777.8180326483,88625.55761477466,300.8270406486538,342.4238188306513,1.0245457269831315
9400,9.40000000000023,-429541.13873193646,88967.52188311097,301.98779045514124,342.4238188306513,1.0245457269831315
9500,9.500000000000174,-429087.9379080798,88999.2987417224,302.0956525503931,342.4238188306513,1.0245457269831315
9600,9.600000000000119,-429355.99802158837,89035.6909295435,302.2191807341314,342.4238188306513,1.0245457269831315
9700,9.700000000000063,-429092.5811214413,88914.51080130259,301.807851763739,342.4238188306513,1.0245457269831315
9800,9.800000000000008,-429002.44382350915,88588.50180496424,300.7012598930329,342.4238188306513,1.0245457269831315
9900,9.899999999999952,-429416.4102736638,88673.983052901,300.99141401493466,342.4238188306513,1.0245457269831315
10000,9.999999999999897,-429700.3159548994,89133.40881245788,302.550870399356,342.4238188306513,1.0245457269831315
10100,10.099999999999842,-429304.38566643425,88796.00861941598,301.40561270711936,342.4238188306513,1.0245457269831315
10200,10.199999999999786,-429323.83443763957,89227.04292079314,302.8686982638272,342.4238188306513,1.0245457269831315
10300,10.29999999999973,-428762.3255205361,88668.3329471238,300.9722355223412,342.4238188306513,1.0245457269831315
10400,10.399999999999675,-429476.49761418614,89251.14943977848,302.95052446567996,342.4238188306513,1.0245457269831315
10500,10.49999999999962,-429461.32276091113,89151.077188373,302.61084322641244,342.4238188306513,1.0245457269831315
10600,10.599999999999564,-429440.61286505935,89036.91968163554,302.2233515609841,342.4238188306513,1.0245457269831315
10700,10.699999999999509,-428401.0812353965,87979.17481613766,298.632984784031,342.4238188306513,1.0245457269831315
10800,10.799999999999454,-429283.50816163403,88998.21028491184,302.09195793622075,342.4238188306513,1.0245457269831315
10900,10.899999999999398,-428946.47843047435,88985.26207821259,302.04800706236585,342.4238188306513,1.0245457269831315
11000,10.999999999999343,-428918.0594389782,89650.17209653331,304.30495097891077,342.4238188306513,1.0245457269831315
11100,11.099999999999287,-428414.26078219194,88471.8207109344,300.30520226404496,342.4238188306513,1.0245457269831315
11200,11.199999999999232,-429297.57119689096,88987.932011153,302.05706977572765,342.4238188306513,1.0245457269831315
11300,11.299999999999176,-428550.9366467235,88339.87089661117,299.85731710286456,342.4238188306513,1.0245457269831315
11400,11.399999999999121,-429529.09922738303,88984.40957652045,302.0451133647904,342.4238188306513,1.0245457269831315
11500,11.499999999999066,-429403.0330360909,89306.5585359951,303.13860288107685,342.4238188306513,1.0245457269831315
11600,11.59999999999901,-428976.87138915935,88980.5239355821,302.03192410092606,342.4238188306513,1.0245457269831315
11700,11.699999999998955,-429112.6595728627,88699.84036248866,301.0791830302361,342.4238188306513,1.0245457269831315
11800,11.7999999999989,-429264.20967746375,88879.78748016815,301.6899883141935,342.4238188306513,1.0245457269831315
11900,11.899999999998844,-428932.46565072826,87996.15084553843,298.69060753782844,342.4238188306513,1.0245457269831315
12000,11.999999999998789,-429856.2318927883,88941.20603368549,301.89846499059263,342.4238188306513,1.0245457269831315
12100,12.099999999998733,-430005.3252709989,88988.92840099106,302.0604518814586,342.4238188306513,1.0245457269831315
12200,12.199999999998678,-429705.82558612246,88680.88960372086,301.01485733422254,342.4238188306513,1.0245457269831315
12300,12.299999999998622,-429574.3332289963,88161.98233946536,299.2534993142754,342.4238188306513,1.0245457269831315
12400,12.399999999998567,-430495.2173811456,88646.74670827744,300.8989640583792,342.4238188306513,1.0245457269831315
12500,12.499999999998511,-429459.2269032073,88142.44435102084,299.18718034938337,342.4238188306513,1.0245457269831315
12600,12.599999999998456,-430049.7398817671,88584.42547208769,300.68742335209646,342.4238188306513,1.0245457269831315
12700,12.6999999999984,-429866.0525376316,88015.91364776772,298.757689601621,342.4238188306513,1.0245457269831315
12800,12.799999999998345,-430286.3873197024,88545.29049981656,300.554585170752,342.4238188306513,1.0245457269831315
12900,12.89999999999829,-430316.2566601841,88598.7132653864,300.7359212650138,342.4238188306513,1.0245457269831315
13000,12.999999999998234,-430248.4410618335,88598.71495625495,300.73592700443027,342.4238188306513,1.0245457269831315
13100,13.099999999998179,-430049.02003507025,88159.23954090317,299.2441892687675,342.4238188306513,1.0245457269831315
13200,13.199999999998123,-429878.4458405163,87920.18809809192,298.43276263248856,342.4238188306513,1.0245457269831315
13300,13.299999999998068,-430828.52792734595,88494.45981549182,300.3820475331776,342.4238188306513,1.0245457269831315
13400,13.399999999998013,-430165.0135513634,87854.26281767931,298.2089885029461,342.4238188306513,1.0245457269831315
13500,13.499999999997957,-430558.63924101694,88279.6808850324,299.6530105399817,342.4238188306513,1.0245457269831315
13600,13.599999999997902,-429836.0200614103,88613.66604271042,300.786676373054,342.4238188306513,1.0245457269831315
13700,13.699999999997846,-429116.15491134184,88149.72773957044,299.21190279155735,342.4238188306513,1.0245457269831315
13800,13.799999999997791,-428748.88050167216,87941.72579053711,298.50586931249217,342.4238188306513,1.0245457269831315
13900,13.899999999997736,-428873.65305073414,88620.32090142148,300.8092653587357,342.4238188306513,1.0245457269831315
14000,13.99999999999768,-429668.2709138221,89100.07942485398,302.43773846191755,342.4238188306513,1.0245457269831315
14100,14.099999999997625,-429536.42333278776,89028.97996813603,302.19640131570577,342.4238188306513,1.0245457269831315
14200,14.19999999999757,-430005.9666716361,89585.94252274345,304.0869326879646,342.4238188306513,1.0245457269831315
14300,14.299999999997514,-429278.28541915014,88625.32559604952,300.8262530935925,342.4238188306513,1.0245457269831315
14400,14.399999999997458,-429812.12173151626,88708.19934462555,301.10755642417297,342.4238188306513,1.0245457269831315
14500,14.499999999997403,-429316.80813205184,88347.81763392949,299.88429118951206,342.4238188306513,1.0245457269831315
14600,14.599999999997348,-429979.36695645173,88957.42833027452,301.9535293039435,342.4238188306513,1.0245457269831315
14700,14.699999999997292,-429986.5191160161,88706.76269448182,301.10267991650613,342.4238188306513,1.0245457269831315
14800,14.799999999997237,-430646.64637103264,89414.97600832173,303.50661080376204,342.4238188306513,1.0245457269831315
14900,14.899999999997181,-431028.72744344786,89677.99279494083,304.39938444252954,342.4238188306513,1.0245457269831315
15000,14.999999999997126,-429945.9023228587,88093.71509697763,299.0217757225312,342.4238188306513,1.0245457269831315
15100,15.09999999999707,-430024.9680698482,88216.30792747492,299.43789991284143,342.4238188306513,1.0245457269831315
15200,15.199999999997015,-430786.11805268767,88920.00683204479,301.826507270209,342.4238188306513,1.0245457269831315
15300,15.29999999999696,-429870.20859259233,88286.58470754171,299.6764445984016,342.4238188306513,1.0245457269831315
15400,15.399999999996904,-430129.1576413857,88471.90514692216,300.3054888701776,342.4238188306513,1.0245457269831315
15500,15.499999999996849,-429574.13812539016,88246.25995897499,299.5395678880856,342.4238188306513,1.0245457269831315
15600,15.599999999996793,-430481.22805635503,89184.07687853226,302.72285605205894,342.4238188306513,1.0245457269831315
15700,15.699999999996738,-430780.46676798654,89348.62763554313,303.2814005464501,342.4238188306513,1.0245457269831315
15800,15.799999999996682,-430197.8925908763,88284.81312628194,299.67043121397853,342.4238188306513,1.0245457269831315
15900,15.899999999996627,-430622.4257563433,88726.07464936847,301.1682316421488,342.4238188306513,1.0245457269831315
16000,15.999999999996572,-430737.95298494713,89056.83625726127,302.2909555870303,342.4238188306513,1.0245457269831315
16100,16.099999999996694,-430519.65158696147,88351.71895731078,299.89753368523213,342.4238188306513,1.0245457269831315
16200,16.199999999996816,-431126.13382037095,88339.4207602004,299.8557891778733,342.4238188306513,1.0245457269831315
16300,16.29999999999694,-430921.8990336601,88568.05305514598,300.6318494762372,342.4238188306513,1.0245457269831315
16400,16.39999999999706,-430325.32599451736,88021.39150729254,298.776283428439,342.4238188306513,1.0245457269831315
16500,16.499999999997183,-430216.3870271717,88470.94307017585,300.30222323543006,342.4238188306513,1.0245457269831315
16600,16.599999999997305,-430308.7746731546,88670.04700928838,300.9780536662529,342.4238188306513,1.0245457269831315
16700,16.699999999997427,-429663.5888460552,88601.4529377655,300.7452206991311,342.4238188306513,1.0245457269831315
16800,16.79999999999755,-429844.41365113924,89110.28763892285,302.472388814607,342.4238188306513,1.0245457269831315
16900,16.89999999999767,-429849.11161241157,88815.8713071181,301.47303381815743,342.4238188306513,1.0245457269831315
17000,16.999999999997794,-430196.9150290525,89014.27104604042,302.14647394007903,342.4238188306513,1.0245457269831315
17100,17.099999999997916,-429385.342683082,88166.14274881005,299.2676212410055,342.4238188306513,1.0245457269831315
17200,17.199999999998038,-429837.09061674203,88802.18716644116,301.426584919505,342.4238188306513,1.0245457269831315
17300,17.29999999999816,-429513.8960430708,88689.10109062865,301.04273007626534,342.4238188306513,1.0245457269831315
17400,17.399999999998283,-429770.7602484036,88320.82665598368,299.7926740957731,342.4238188306513,1.0245457269831315
17500,17.499999999998405,-430371.6263999983,89159.12104933352,302.6381469856583,342.4238188306513,1.0245457269831315
17600,17.599999999998527,-430369.6406893311,89115.02390698582,302.48846541309,342.4238188306513,1.0245457269831315
17700,17.69999999999865,-430064.55928109295,88728.86192107004,301.17769264549855,342.4238188306513,1.0245457269831315
17800,17.79999999999877,-429862.94196474925,88068.39030650843,298.935814268782,342.4238188306513,1.0245457269831315
17900,17.899999999998894,-430109.2186685223,88980.34270019131,302.0313089227795,342.4238188306513,1.0245457269831315
18000,17.999999999999016,-429673.34804251173,88233.76399841407,299.4971521003967,342.4238188306513,1.0245457269831315
18100,18.099999999999138,-429795.3266125166,88671.1273423316,300.981720705435,342.4238188306513,1.0245457269831315
18200,18.19999999999926,-429738.17066604825,89046.70253283645,302.2565580790031,342.4238188306513,1.0245457269831315
18300,18.299999999999383,-428740.04658657237,88859.56749811504,301.6213544175308,342.4238188306513,1.0245457269831315
18400,18.399999999999505,-428675.4151816247,88234.91783392875,299.5010686334218,342.4238188306513,1.0245457269831315
18500,18.499999999999627,-429061.0814590894,88926.784359356,301.8495126372703,342.4238188306513,1.0245457269831315
18600,18.59999999999975,-429403.67307122285,88901.92289619276,301.76512388315837,342.4238188306513,1.0245457269831315
18700,18.69999999999987,-428565.5742048564,88018.31949617721,298.76585591703554,342.4238188306513,1.0245457269831315
18800,18.799999999999994,-429315.1074720984,88894.92138219049,301.74135822465024,342.4238188306513,1.0245457269831315
18900,18.900000000000116,-429611.44369905314,89044.34974413023,302.2485718673187,342.4238188306513,1.0245457269831315
19000,19.000000000000238,-429334.5232968485,88734.72171110862,301.1975828819447,342.4238188306513,1.0245457269831315
19100,19.10000000000036,-428308.3689794939,88182.5305931573,299.32324748303176,342.4238188306513,1.0245457269831315
19200,19.200000000000482,-429278.0031613175,88838.41596780707,301.54955851080837,342.4238188306513,1.0245457269831315
19300,19.300000000000605,-430177.4186855926,89494.1107065897,303.77522245183826,342.4238188306513,1.0245457269831315
19400,19.400000000000727,-428857.04685287876,87761.64700649386,297.8946171055069,342.4238188306513,1.0245457269831315
19500,19.50000000000085,-429175.39766379754,88332.82664178728,299.8334063666246,342.4238188306513,1.0245457269831315
19600,19.60000000000097,-429261.5399669664,88208.97383093617,299.4130053495014,342.4238188306513,1.0245457269831315
19700,19.700000000001094,-429009.49709206936,88189.78466990031,299.3478704303844,342.4238188306513,1.0245457269831315
19800,19.800000000001216,-429633.5038202711,88204.79433308427,299.3988186295075,342.4238188306513,1.0245457269831315
19900,19.900000000001338,-430069.5213559062,88580.79222661433,300.67509080928244,342.4238188306513,1.0245457269831315
20000,20.00000000000146,-429551.90301848383,87560.2703047609,297.2110721003377,342.4238188306513,1.0245457269831315
